agency_name,stop_name,stop_id,lat,lon,linha
BRT Salvador,est_rod,3,-12.978904,-38.463752,B1-B2
BRT Salvador,est_hip,4,-12.985096,-38.466992,B1-B2
BRT Salvador,est_cid,5,-12.989127,-38.471813,B1-B2
BRT Salvador,est_prq,6,-12.996152,-38.471353,B1-B2-B4
BRT Salvador,est_ita,7,-12.996762,-38.465266,B1-B2-B4
BRT Salvador,est_pit,15,-12.999645,-38.460243,B1-B2
BRT Salvador,est_pit,18,-12.999545,-38.459982,B1-B2-B3-B4
BRT Salvador,est_ita,10,-12.996955,-38.464441,B1-B2-B3
BRT Salvador,est_prq,11,-12.996219,-38.470423,B1-B2-B3
BRT Salvador,est_cid,13,-12.989165,-38.470981,B1-B2-B3-B5
BRT Salvador,est_hip,12,-12.984294,-38.466799,B1-B2-B3-B5
BRT Salvador,est_rod,54,-12.979147,-38.463853,B1-B2-B3-B5
BRT Salvador,apae,19,-13.001689,-38.459493,B2
BRT Salvador,pra_bh,2,-13.004483,-38.458888,B2
BRT Salvador,pt_goias,61,-13.005467,-38.459539,B2
BRT Salvador,pra_brasil,62,-13.007111,-38.462152,B2
BRT Salvador,pt_urb,63,-13.009338,-38.465426,B2
BRT Salvador,pt_nor,64,-13.010895,-38.467603,B2
BRT Salvador,pt_bal,65,-13.012564,-38.470683,B2
BRT Salvador,pt_vis,66,-13.012942,-38.474326,B2
BRT Salvador,pt_bimba,67,-13.012452,-38.482003,B2
BRT Salvador,qua_ama,60,-13.01411,-38.477902,B2
BRT Salvador,pra_joao,68,-13.013666,-38.472183,B2
BRT Salvador,pt_largo,69,-13.011948,-38.467794,B2
BRT Salvador,pt_para,70,-13.010414,-38.465111,B2
BRT Salvador,pt_paraiba,71,-13.008647,-38.461327,B2
BRT Salvador,pra_nos,55,-13.005431,-38.457527,B2
BRT Salvador,pra_nos,1,-13.005638,-38.457492,B2
BRT Salvador,est_rod,28,-12.978823,-38.463362,B3
BRT Salvador,mil_bri,20,-12.980759,-38.458537,B3
BRT Salvador,ala_esp,30,-12.983564,-38.45836,B3
BRT Salvador,cam_arv,21,-12.987421,-38.457563,B3
BRT Salvador,paulo_iv,22,-12.990661,-38.454733,B3
BRT Salvador,col_mil,23,-12.994365,-38.454733,B3
BRT Salvador,rub_ber,24,-12.997019,-38.454785,B3
BRT Salvador,rio_bra,25,-12.999736,-38.454829,B3
BRT Salvador,rua_bah,26,-13.003389,-38.45545,B3
BRT Salvador,j_amado,27,-13.004807,-38.456612,B3
BRT Salvador,est_lapa,49,-12.982674,-38.511467,B4-B5
BRT Salvador,est_lapa,33,-12.982874,-38.511486,B4-B5
BRT Salvador,est_bar,35,-12.988697,-38.51122,B4-B5
BRT Salvador,est_vdg,36,-12.990404,-38.504014,B4-B5
BRT Salvador,est_ogu,39,-12.993945,-38.497988,B4-B5
BRT Salvador,est_hge,41,-12.998483,-38.492157,B4-B5
BRT Salvador,est_rvm,42,-13.004826,-38.492162,B4-B5
BRT Salvador,est_ped,44,-13.004331,-38.483504,B4-B5
BRT Salvador,est_cdj,46,-12.997759,-38.478666,B4-B5
BRT Salvador,est_pit,58,-12.999876,-38.459721,B4
BRT Salvador,est_cdj,47,-12.998048,-38.479161,B4-B5
BRT Salvador,est_ped,45,-13.004882,-38.484269,B4-B5
BRT Salvador,est_rvm,43,-13.005457,-38.492269,B4-B5
BRT Salvador,est_hge,40,-12.998326,-38.492041,B4-B5
BRT Salvador,est_ogu,38,-12.993764,-38.4982,B4-B5
BRT Salvador,est_vdg,37,-12.99037,-38.504133,B4-B5
BRT Salvador,est_bar,34,-12.988488,-38.511261,B4-B5
BRT Salvador,est_lapa,51,-12.982916,-38.511558,B4-B5
BRT Salvador,est_rod,53,-12.978714,-38.463372,B5
